FacSubTypeID,FacTypeId,FacSubTypeName,FacSubTypeDescription
"1001","1","Synthetic","Tracks made from acrylic man made material. Surfaces give greater cushioning for runner and are the most modern form of track.   Synthetic tracks are gradually replacing cinder and grass tracks.  This surface is also called 'Tartan'."
"1002","1","Cinder","Tracks made from unbound material, such as cinder.  This category includes Redgra (natural aggregate dressing), shale and 'real cinder' tracks.  "
"1003","1","Permanent Grass","Tracks that are permanently marked out on grass.   Does not include running tracks which are seasonally marked out during the summer;  this tends to be the case which many school tracks. "
"2001","2","Health and Fitness Suite","A room or rooms with cardiovascular and/or resistance stations, and possibly also free weights and stretching areas."
"3002","3","Indoor Bowls",""
"4001","4","Airhall","Unframed fabric structure which requires inflating to form its shape.  Commonly referred to as 'Bubbles'. Can be over existing outdoor courts. Most cost effective way to provide indoor court. Most common type of non traditional indoor court. "
"4002","4","Airhall (seasonal)","As above, but only inflated part of the year."
"4003","4","Framed Fabric","Steel frame covered with fabric. Permanent structure which does not require 'inflating'. "
"4004","4","Traditional","Permanent structure which is not fabric. Traditional steel/timber framed and block structure."
"5001","5","Full sized Football","Minimum size 90m x 46m, max 120m x 90m "
"5002","5","Junior Football","Minimum size 70 x 42, max 82 x 56 "
"5003","5","Cricket","A grass area that is has a marked out cricket square for at least part of the year and upon which a cricket match can be played.  Minimum size 46 x 46"
"5004","5","Senior Rugby League","Minimum size 100 x 55, max 122 x 68"
"5005","5","Junior Rugby League","Definition to follow"
"5006","5","Senior Rugby Union","Definition to follow"
"5007","5","Junior Rugby Union","Definition to follow"
"5008","5","Australian Rules Football","Definition to follow"
"5009","5","American Football","Definition to follow"
"5010","5","Hockey","Definition to follow"
"5011","5","Lacrosse","Definition to follow"
"5012","5","Rounders","Definition to follow"
"5013","5","Baseball","Definition to follow"
"5014","5","Softball","Definition to follow"
"5015","5","Gaelic Football","Definition to follow"
"5016","5","Shinty","Definition to follow"
"5017","5","Hurling","Definition to follow"
"5018","5","Polo","Definition to follow"
"5019","5","Cycling Polo","Definition to follow"
"5020","5","Mini Soccer",""
"5021","5","Mini Rugby",""
"5022","5","Nine v Nine",""
"6001","6","Main","Main multi-sports hall(s) within site.  Minimum size is marked out as 3 Badminton courts and above. Dimensions Min width 18m, max width 70m, Min Length 27m Max length 90m."
"6002","6","Activity Hall","This is a multi-sports hall (below 3 badminton courts) where activities take place that does not qualify as a main hall and is not a purpose built studio.  It can include Community/Village halls. It should be between the following dimensions: min width 9m, max width 18m, min length 17m, max length 26m. It may or may not be marked out."
"6003","6","Barns","Marked out with minimum size of 4 badminton courts or 1 basketball court, or 1 netball court or 1 volleyball court. These are buildings which did not start out life as a dedicated sports hall but are now used for that purpose. Typically the dimensions of the building are much greater than the courts they contain. May include courts marked out in the middle of an indoor velodrome or indoor running track."
"7001","7","Main/General","Indoor only.  Principle pool(s) within site.  Minimum length is 15m.  Pool must be traditional rectangular tank.  Where a main pool has had flumes/slides fitted, provided the pool is rectangular in shape, it should be classified as a 'Main/General' pool."
"7002","7","Leisure Pool","Indoor only.  A pool which has a freeform, curved shape on the majority of its sides.  These pools are primarily designed for informal recreational swimming and may include flumes, slides, beach areas, water jets, wave machines.   Some leisure pools may have been designed to allow lane swimming within a specific area of the pool. These pools should be classified as 'leisure' where the majority of its sides are freeform.  If lanes are present, these should be counted, and the length recorded. "
"7003","7","Learner/Teaching/Training","Indoor only.  Either less than 15m in length, or a secondary pool within site. Smaller and generally shallower than Main pool, and traditionally rectangular in shape.  May have stepped/shallow area for infant use.  Record number of lanes if present."
"7004","7","Diving","Indoor only.  Pool specifically designed for diving.  Pools are usually square and deeper than main pools."
"7005","7","Lido","Public open-air pool.    "
"8001","8","Sand Filled","20-25mm tufted carpet covered filled with graded sand laid over a rubber shock pad and engineering base. Most common surface for STP's, used in particular for hockey & football, but can be used by other activities, such as American Football, Lacrosse, and training for Rugby and Athletics."
